n,m,avg_deg,unionfind,accesses
32,92,5,naive,1040
32,92,5,pc,715
32,92,5,rank,508
32,92,5,pc+rank,641
64,174,5,naive,1851
64,174,5,pc,1409
64,174,5,rank,1108
64,174,5,pc+rank,1267
128,327,5,naive,7822
128,327,5,pc,2988
128,327,5,rank,2109
128,327,5,pc+rank,2416
256,639,5,naive,26077
256,639,5,pc,6549
256,639,5,rank,4171
256,639,5,pc+rank,4717
512,1265,5,naive,109579
512,1265,5,pc,13956
512,1265,5,rank,8560
512,1265,5,pc+rank,9388
1024,2577,5,naive,412406
1024,2577,5,pc,29671
1024,2577,5,rank,17122
1024,2577,5,pc+rank,19051
2048,5057,5,naive,1499905
2048,5057,5,pc,61185
2048,5057,5,rank,34106
2048,5057,5,pc+rank,37577
4096,10210,5,naive,6673650
4096,10210,5,pc,129751
4096,10210,5,rank,68930
4096,10210,5,pc+rank,75659
8192,20158,5,naive,23244769
8192,20158,5,pc,264447
8192,20158,5,rank,137851
8192,20158,5,pc+rank,150177
16384,40821,5,naive,97153019
16384,40821,5,pc,564634
16384,40821,5,rank,283398
16384,40821,5,pc+rank,303840
32768,81624,5,pc,1167014
32768,81624,5,rank,567478
32768,81624,5,pc+rank,607142
65536,164226,5,pc,2436428
65536,164226,5,rank,1156735
65536,164226,5,pc+rank,1222314
131072,327925,5,pc,5062183
131072,327925,5,rank,2324391
131072,327925,5,pc+rank,2439777
262144,654608,5,pc,10494651
262144,654608,5,rank,4604330
262144,654608,5,pc+rank,4869715
524288,1312781,5,pc,21754440
524288,1312781,5,rank,9294977
524288,1312781,5,pc+rank,9763830
1048576,2618129,5,pc,44923495
1048576,2618129,5,rank,18464367
1048576,2618129,5,pc+rank,19483133
2097152,5246382,5,pc,92997246
2097152,5246382,5,rank,36847535
2097152,5246382,5,pc+rank,39016312
32,72,5,naive,749
32,72,5,pc,661
32,72,5,rank,399
32,72,5,pc+rank,487
64,149,5,naive,2062
64,149,5,pc,1281
64,149,5,rank,921
64,149,5,pc+rank,1103
128,341,5,naive,8510
128,341,5,pc,3270
128,341,5,rank,2055
128,341,5,pc+rank,2432
256,617,5,naive,22087
256,617,5,pc,6395
256,617,5,rank,4054
256,617,5,pc+rank,4589
512,1237,5,naive,104706
512,1237,5,pc,13756
512,1237,5,rank,8080
512,1237,5,pc+rank,9192
1024,2568,5,naive,375523
1024,2568,5,pc,29494
1024,2568,5,rank,17193
1024,2568,5,pc+rank,18968
2048,5182,5,naive,1471637
2048,5182,5,pc,61012
2048,5182,5,rank,36234
2048,5182,5,pc+rank,38460
4096,10323,5,naive,6389968
4096,10323,5,pc,130083
4096,10323,5,rank,71859
4096,10323,5,pc+rank,76847
8192,20637,5,naive,23839969
8192,20637,5,pc,269443
8192,20637,5,rank,141319
8192,20637,5,pc+rank,153249
16384,41206,5,naive,95992472
16384,41206,5,pc,564053
16384,41206,5,rank,292272
16384,41206,5,pc+rank,306411
32768,82093,5,pc,1171283
32768,82093,5,rank,575852
32768,82093,5,pc+rank,610461
65536,163359,5,pc,2431647
65536,163359,5,rank,1134391
65536,163359,5,pc+rank,1215485
131072,328153,5,pc,5080321
131072,328153,5,rank,2299342
131072,328153,5,pc+rank,2439977
262144,656243,5,pc,10525847
262144,656243,5,rank,4666965
262144,656243,5,pc+rank,4879967
524288,1312367,5,pc,21776466
524288,1312367,5,rank,9186537
524288,1312367,5,pc+rank,9757830
1048576,2623821,5,pc,44989496
