n,m,avg_deg,unionfind,accesses
32,92,5,naive,1164
32,92,5,pc,839
32,92,5,rank,632
32,92,5,pc+rank,765
64,174,5,naive,2103
64,174,5,pc,1661
64,174,5,rank,1360
64,174,5,pc+rank,1519
128,327,5,naive,8326
128,327,5,pc,3492
128,327,5,rank,2613
128,327,5,pc+rank,2920
256,639,5,naive,27097
256,639,5,pc,7569
256,639,5,rank,5191
256,639,5,pc+rank,5737
512,1265,5,naive,111619
512,1265,5,pc,15996
512,1265,5,rank,10600
512,1265,5,pc+rank,11428
1024,2577,5,naive,416450
1024,2577,5,pc,33715
1024,2577,5,rank,21166
1024,2577,5,pc+rank,23095
2048,5057,5,naive,1508053
2048,5057,5,pc,69333
2048,5057,5,rank,42254
2048,5057,5,pc+rank,45725
4096,10210,5,naive,6689910
4096,10210,5,pc,146011
4096,10210,5,rank,85190
4096,10210,5,pc+rank,91919
8192,20158,5,naive,23277253
8192,20158,5,pc,296931
8192,20158,5,rank,170335
8192,20158,5,pc+rank,182661
16384,40821,5,naive,97218083
16384,40821,5,pc,629698
16384,40821,5,rank,348462
16384,40821,5,pc+rank,368904
32768,81624,5,pc,1297166
32768,81624,5,rank,697630
32768,81624,5,pc+rank,737294
65536,164226,5,pc,2696884
65536,164226,5,rank,1417191
65536,164226,5,pc+rank,1482770
131072,327925,5,pc,5582883
131072,327925,5,rank,2845091
131072,327925,5,pc+rank,2960477
262144,654608,5,pc,11535911
262144,654608,5,rank,5645590
262144,654608,5,pc+rank,5910975
524288,1312781,5,pc,23837056
524288,1312781,5,rank,11377593
524288,1312781,5,pc+rank,11846446
1048576,2618129,5,pc,49088875
1048576,2618129,5,rank,22629747
1048576,2618129,5,pc+rank,23648513
2097152,5246382,5,pc,101329062
2097152,5246382,5,rank,45179351
2097152,5246382,5,pc+rank,47348128
32,72,5,naive,873
32,72,5,pc,785
32,72,5,rank,523
32,72,5,pc+rank,611
64,149,5,naive,2314
64,149,5,pc,1533
64,149,5,rank,1173
64,149,5,pc+rank,1355
128,341,5,naive,9014
128,341,5,pc,3774
128,341,5,rank,2559
128,341,5,pc+rank,2936
256,617,5,naive,23099
256,617,5,pc,7407
256,617,5,rank,5066
256,617,5,pc+rank,5601
512,1237,5,naive,106730
512,1237,5,pc,15780
512,1237,5,rank,10104
512,1237,5,pc+rank,11216
1024,2568,5,naive,379571
1024,2568,5,pc,33542
1024,2568,5,rank,21241
1024,2568,5,pc+rank,23016
2048,5182,5,naive,1479773
2048,5182,5,pc,69148
2048,5182,5,rank,44370
2048,5182,5,pc+rank,46596
4096,10323,5,naive,6406244
4096,10323,5,pc,146359
4096,10323,5,rank,88135
4096,10323,5,pc+rank,93123
8192,20637,5,naive,23872501
8192,20637,5,pc,301975
8192,20637,5,rank,173851
8192,20637,5,pc+rank,185781
16384,41206,5,naive,96057628
16384,41206,5,pc,629209
16384,41206,5,rank,357428
16384,41206,5,pc+rank,371567
32768,82093,5,pc,1301351
32768,82093,5,rank,705920
32768,82093,5,pc+rank,740529
65536,163359,5,pc,2691907
65536,163359,5,rank,1394651
65536,163359,5,pc+rank,1475745
131072,328153,5,pc,5600965
131072,328153,5,rank,2819986
131072,328153,5,pc+rank,2960621
262144,656243,5,pc,11567427
262144,656243,5,rank,5708545
262144,656243,5,pc+rank,5921547
524288,1312367,5,pc,23859530
524288,1312367,5,rank,11269601
524288,1312367,5,pc+rank,11840894
1048576,2623821,5,pc,49155256
1048576,2623821,5,rank,22558305
1048576,2623821,5,pc+rank,23678690
2097152,5238459,5,pc,101176468
2097152,5238459,5,rank,45242860
2097152,5238459,5,pc+rank,47298502
32,84,5,naive,924
32,84,5,pc,823
32,84,5,rank,610
32,84,5,pc+rank,715
64,149,5,naive,2769
